SourceFile,FileName,DateTimeOriginal,ExposureTime,ISO,DriveMode,ImageCount
/run/media/mike/disk/DCIM/128_FUJI/_DSF8181.RAF,_DSF8181.RAF,2026:08:01 21:02:21,1/4,320,Continuous High,9415
/run/media/mike/disk/DCIM/128_FUJI/_DSF8182.RAF,_DSF8182.RAF,2026:08:01 21:02:23,1/4,320,Continuous High,9416
/run/media/mike/disk/DCIM/128_FUJI/_DSF8183.RAF,_DSF8183.RAF,2026:08:01 21:02:25,1/4,320,Continuous High,9417
/run/media/mike/disk/DCIM/128_FUJI/_DSF8184.RAF,_DSF8184.RAF,2026:08:01 21:02:27,1/4,320,Continuous High,9418
/run/media/mike/disk/DCIM/128_FUJI/_DSF8185.RAF,_DSF8185.RAF,2026:08:01 21:02:30,1/4,320,Continuous High,9419
/run/media/mike/disk/DCIM/128_FUJI/_DSF8186.RAF,_DSF8186.RAF,2026:08:01 21:02:32,1/4,320,Continuous High,9420
/run/media/mike/disk/DCIM/128_FUJI/_DSF8187.RAF,_DSF8187.RAF,2026:08:01 21:02:34,1/4,320,Continuous High,9421
/run/media/mike/disk/DCIM/128_FUJI/_DSF8188.RAF,_DSF8188.RAF,2026:08:01 21:02:36,1/4,320,Continuous High,9422
/run/media/mike/disk/DCIM/128_FUJI/_DSF8189.RAF,_DSF8189.RAF,2026:08:01 21:02:38,1/4,320,Continuous High,9423
/run/media/mike/disk/DCIM/128_FUJI/_DSF8190.RAF,_DSF8190.RAF,2026:08:01 21:02:40,1/4,320,Continuous High,9424
/run/media/mike/disk/DCIM/128_FUJI/_DSF8191.RAF,_DSF8191.RAF,2026:08:01 21:02:42,1/4,320,Continuous High,9425
/run/media/mike/disk/DCIM/128_FUJI/_DSF8192.RAF,_DSF8192.RAF,2026:08:01 21:02:44,1/4,320,Continuous High,9426
/run/media/mike/disk/DCIM/128_FUJI/_DSF8193.RAF,_DSF8193.RAF,2026:08:01 21:02:46,1/4,320,Continuous High,9427
/run/media/mike/disk/DCIM/128_FUJI/_DSF8194.RAF,_DSF8194.RAF,2026:08:01 21:02:46,1/4,320,Continuous High,9428
/run/media/mike/disk/DCIM/128_FUJI/_DSF8195.RAF,_DSF8195.RAF,2026:08:01 21:02:46,1/4,320,Continuous High,9429
/run/media/mike/disk/DCIM/128_FUJI/_DSF8196.RAF,_DSF8196.RAF,2026:08:01 21:02:46,1/4,320,Continuous High,9430
/run/media/mike/disk/DCIM/128_FUJI/_DSF8197.RAF,_DSF8197.RAF,2026:08:01 21:02:47,1/4,320,Continuous High,9431
/run/media/mike/disk/DCIM/128_FUJI/_DSF8198.RAF,_DSF8198.RAF,2026:08:01 21:02:47,1/4,320,Continuous High,9432
/run/media/mike/disk/DCIM/128_FUJI/_DSF8199.RAF,_DSF8199.RAF,2026:08:01 21:02:47,1/4,320,Continuous High,9433
/run/media/mike/disk/DCIM/128_FUJI/_DSF8200.RAF,_DSF8200.RAF,2026:08:01 21:02:49,1/4,320,Continuous High,9434
/run/media/mike/disk/DCIM/128_FUJI/_DSF8201.RAF,_DSF8201.RAF,2026:08:01 21:02:49,1/4,320,Continuous High,9435
/run/media/mike/disk/DCIM/128_FUJI/_DSF8202.RAF,_DSF8202.RAF,2026:08:01 21:02:49,1/4,320,Continuous High,9436
/run/media/mike/disk/DCIM/128_FUJI/_DSF8203.RAF,_DSF8203.RAF,2026:08:01 21:02:55,1/4,320,Continuous High,9437
/run/media/mike/disk/DCIM/128_FUJI/_DSF8204.RAF,_DSF8204.RAF,2026:08:01 21:02:56,1/4,320,Continuous High,9438
