SourceFile,FileName,DateTimeOriginal,ExposureTime,ISO,FNumber,ShutterType,DriveMode,DriveSpeed,SequenceNumber,AutoBracketing,ImageCount,ExposureCount,FileModifyDate
/run/media/mike/disk/DCIM/127_FUJI/_DSF7083.RAF,_DSF7083.RAF,2026:08:01 16:38:20,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8318,1,2026:08:01 18:38:20+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7084.RAF,_DSF7084.RAF,2026:08:01 16:38:29,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8319,1,2026:08:01 18:38:30+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7085.RAF,_DSF7085.RAF,2026:08:01 16:38:32,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8320,1,2026:08:01 18:38:32+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7086.RAF,_DSF7086.RAF,2026:08:01 16:38:36,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8321,1,2026:08:01 18:38:36+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7087.RAF,_DSF7087.RAF,2026:08:01 16:38:39,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8322,1,2026:08:01 18:38:38+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7088.RAF,_DSF7088.RAF,2026:08:01 16:38:42,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8323,1,2026:08:01 18:38:42+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7089.RAF,_DSF7089.RAF,2026:08:01 16:38:45,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8324,1,2026:08:01 18:38:46+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7090.RAF,_DSF7090.RAF,2026:08:01 16:38:49,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8325,1,2026:08:01 18:38:48+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7091.RAF,_DSF7091.RAF,2026:08:01 16:38:52,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8326,1,2026:08:01 18:38:52+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7092.RAF,_DSF7092.RAF,2026:08:01 16:38:55,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8327,1,2026:08:01 18:38:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7093.RAF,_DSF7093.RAF,2026:08:01 16:39:01,1/125,320,2.0,Mechanical,Single,n/a,0,Off,8328,1,2026:08:01 18:39:02+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7094.RAF,_DSF7094.RAF,2026:08:01 16:39:46,1/1000,320,2.0,Mechanical,Continuous High,10 fps,1,On,8329,1,2026:08:01 18:39:46+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7095.RAF,_DSF7095.RAF,2026:08:01 16:39:46,1/1000,320,2.0,Mechanical,Continuous High,10 fps,2,On,8330,1,2026:08:01 18:39:46+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7096.RAF,_DSF7096.RAF,2026:08:01 16:39:48,1/1000,320,2.0,Mechanical,Continuous High,10 fps,1,On,8331,1,2026:08:01 18:39:48+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7097.RAF,_DSF7097.RAF,2026:08:01 16:39:48,1/1000,320,2.0,Mechanical,Continuous High,10 fps,2,On,8332,1,2026:08:01 18:39:48+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7098.RAF,_DSF7098.RAF,2026:08:01 16:39:54,1/1000,320,2.0,Mechanical,Continuous High,10 fps,1,On,8333,1,2026:08:01 18:39:54+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7099.RAF,_DSF7099.RAF,2026:08:01 16:39:54,1/1000,320,2.0,Mechanical,Continuous High,10 fps,2,On,8334,1,2026:08:01 18:39:54+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7100.RAF,_DSF7100.RAF,2026:08:01 16:39:54,1/1000,320,2.0,Mechanical,Continuous High,10 fps,3,On,8335,1,2026:08:01 18:39:54+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7101.RAF,_DSF7101.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,4,On,8336,1,2026:08:01 18:39:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7102.RAF,_DSF7102.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,5,On,8337,1,2026:08:01 18:39:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7103.RAF,_DSF7103.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,6,On,8338,1,2026:08:01 18:39:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7104.RAF,_DSF7104.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,7,On,8339,1,2026:08:01 18:39:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7105.RAF,_DSF7105.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,8,On,8340,1,2026:08:01 18:39:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7106.RAF,_DSF7106.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,9,On,8341,1,2026:08:01 18:39:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7107.RAF,_DSF7107.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,10,On,8342,1,2026:08:01 18:39:56+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7108.RAF,_DSF7108.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,11,On,8343,1,2026:08:01 18:39:58+02:00
/run/media/mike/disk/DCIM/127_FUJI/_DSF7109.RAF,_DSF7109.RAF,2026:08:01 16:39:55,1/1000,320,2.0,Mechanical,Continuous High,10 fps,12,On,8344,1,2026:08:01 18:39:58+02:00
